url,ip_address,language,os,browser,submitted_at,status
"https://www.pornhub.com","192.168.0.103","zh-CN","Android","Chrome","2025-07-06T15:05:27.900Z","approved"
"https://civitai.com/","192.168.0.103","zh-CN","Android","Chrome","2025-07-06T16:07:29.856Z","approved"
"https://2study.top","127.0.0.1","zh-CN","macOS","Edge","2025-07-07T03:14:06.304Z","approved"
"https://www.semrush.com/","192.168.0.101","zh-CN","macOS","Edge","2025-07-07T05:41:20.888Z","approved"
"https://chat.deepseek.com","192.168.0.101","zh-CN","macOS","Edge","2025-07-07T05:57:28.465Z","approved"
"https://icon.horse/","192.168.0.101","zh-CN","macOS","Edge","2025-07-08T12:40:20.096Z","approved"
"https://www.google.com","localhost","en-US","EXC","WebDirsTo","2025-07-11T14:14:16.325Z","approved"
"http://chatgpt.com/","localhost","en-US","EXC","WebDirsTo","2025-07-11T18:11:02.913Z","approved"
"https://opencut.app/","localhost","en","EXC","WebDirsTo","2025-07-12T03:01:29.541Z","approved"
"https://cyc.homes/","localhost","zh-Hans","EXC","WebDirsTo","2025-07-12T03:01:29.542Z","approved"
"https://emojiterra.com/keyboard/zh/","localhost","en","EXC","WebDirsTo","2025-07-12T03:01:29.542Z","rejected"
"https://emojiterra.com/","localhost","en","EXC","WebDirsTo","2025-07-12T03:01:29.542Z","approved"
"https://note.blendiv.com/","localhost","zh-CN","EXC","WebDirsTo","2025-07-12T03:24:55.693Z","approved"
"https://lucia-auth.com","localhost","en","EXC","WebDirsTo","2025-07-12T03:24:55.693Z","approved"
"https://orm.drizzle.team/","localhost","en","EXC","WebDirsTo","2025-07-12T03:24:55.693Z","approved"
"https://bing.com","localhost","en","EXC","WebDirsTo","2025-07-12T03:24:55.693Z","approved"
url,ip_address,language,os,browser,submitted_at,status
"https://regexr.com/","106.57.147.79","zh-CN","Android","Edge","2025-07-12T10:12:04.846Z","pending"
url,ip_address,language,os,browser,submitted_at,status
"https://gemini.google.com","74.48.194.69","zh-CN","macOS","Edge","2025-07-12T10:13:05.868Z","pending"
url,ip_address,language,os,browser,submitted_at,status
"https://github.com","74.48.194.69","zh-CN","macOS","Edge","2025-07-12T10:13:45.892Z","pending"
url,ip_address,language,os,browser,submitted_at,status
"https://www.photopea.com/","74.48.194.69","zh-CN","macOS","Edge","2025-07-12T10:14:28.554Z","pending"
url,ip_address,language,os,browser,submitted_at,status
"https://icon.kitchen/","74.48.194.69","zh-CN","macOS","Edge","2025-07-12T10:15:20.158Z","pending"
